timestamp, PPG_1, PPG_2, window
1460803354,124014,1180600,1
1460803354,123942,1180481,1
1460803354,123890,1180566,1
1460803354,123976,1179986,1
1460803354,123993,1179866,1
1460803354,123881,1179828,1
1460803354,123881,1179261,1
1460803354,123817,1179394,1
1460803354,123864,1179368,1
1460803354,123839,1178808,1
1460803354,123860,1178302,1
1460803354,123741,1177824,1
1460803354,123800,1177414,1
1460803354,123771,1177500,1
1460803354,123792,1177534,1
1460803354,123834,1177119,1
1460803354,123724,1177081,1
1460803354,123847,1176753,1
1460803354,123741,1176232,1
1460803354,123732,1175913,1
1460803354,123720,1175511,1
1460803354,123783,1175174,1
1460803354,123754,1175324,1
1460803354,123732,1175405,1
1460803354,123771,1175085,1
1460803354,123720,1175119,1
1460803354,123800,1175405,1
1460803354,123792,1175149,1
1460803354,123758,1175225,1
1460803354,123809,1175098,1
1460803354,123698,1174884,1
1460803354,123779,1174556,1
1460803354,123741,1174326,1
1460803354,123783,1174065,1
1460803354,123758,1174262,1
1460803354,123762,1174667,1
1460803354,123754,1174304,1
1460803354,123779,1174667,1
1460803354,123809,1174876,1
1460803354,123805,1174586,1
1460803354,123856,1174893,1
1460803354,123800,1175396,1
1460803354,123800,1175396,1
1460803354,123775,1175477,1
1460803354,123617,1175746,1
1460803354,123617,1175746,1
1460803354,123681,1175750,1
1460803354,123741,1175627,1
1460803354,123758,1175435,1
1460803354,123809,1175170,1
1460803354,123758,1174965,1
1460803354,123783,1174658,1
1460803354,123839,1174633,1
1460803354,123881,1174620,1
1460803354,123864,1174620,1
1460803354,123873,1174986,1
1460803354,123898,1175225,1
1460803354,123898,1175225,1
1460803354,123915,1175021,1
1460803354,123950,1175413,1
1460803354,123950,1175413,1
1460803354,123980,1175242,1
1460803354,124005,1174996,1
1460803354,124052,1174935,1
1460803354,124056,1174906,1
1460803354,124022,1174727,1
1460803354,124103,1175077,1
1460803354,124124,1174787,1
1460803354,124061,1174573,1
1460803354,124010,1174372,1
1460803354,124039,1174723,1
1460803354,124069,1174736,1
1460803354,124065,1174446,1
1460803354,124095,1174692,1
1460803354,124018,1174986,1
1460803354,124099,1174526,1
1460803354,124163,1174906,1
1460803354,124163,1174906,1
1460803354,124035,1174650,1
1460803354,124005,1174317,1
1460803354,124001,1174129,1
1460803354,124027,1174181,1
1460803354,123907,1173912,1
1460803354,123946,1174070,1
1460803354,123881,1173767,1
1460803354,123898,1173963,1
1460803354,123796,1174116,1
1460803354,123788,1173750,1
1460803354,123826,1173963,1
1460803354,123805,1174458,1
1460803354,123805,1174458,1
1460803354,123813,1174167,1
1460803354,123796,1174241,1
1460803354,123779,1173839,1
1460803354,123779,1173839,1
1460803354,123703,1173366,1
1460803354,123694,1173127,1
1460803354,123741,1172859,1
1460803354,123694,1172491,1
1460803354,123663,1172262,1
1460803354,123604,1172359,1
1460803354,123655,1172504,1
1460803354,123595,1172385,1
1460803354,123617,1172607,1
1460803354,123651,1172773,1
1460803354,123634,1172586,1
1460803354,123608,1172717,1
1460803354,123549,1172760,1
1460803354,123523,1172590,1
1460803354,123561,1172785,1
1460803354,123629,1172956,1
1460803354,123519,1172637,1
1460803354,123536,1172317,1
1460803354,123677,1172044,1
1460803354,123659,1171788,1
1460803354,123690,1171477,1
1460803354,123625,1171737,1
1460803354,123604,1171574,1
1460803354,123570,1171784,1
1460803354,123557,1171971,1
1460803354,123544,1171843,1
1460803354,123634,1172163,1
1460803354,123612,1172330,1
1460803354,123566,1172201,1
1460803354,123566,1172402,1
1460803354,123634,1172508,1
1460803354,123642,1172304,1
1460803354,123638,1171962,1
1460803354,123694,1172133,1
1460803354,123646,1171856,1
1460803354,123681,1172137,1
1460803354,123583,1172440,1
1460803354,123686,1172266,1
1460803354,123642,1172590,1
1460803354,123749,1172880,1
1460803354,123741,1172717,1
1460803354,123792,1173024,1
1460803354,123758,1173234,1
1460803354,123732,1172969,1
1460803354,123698,1173119,1
1460803354,123762,1173344,1
1460803354,123766,1173144,1
1460803354,123724,1172897,1
1460803354,123796,1172666,1
1460803354,123749,1172552,1
1460803354,123830,1172444,1
1460803354,123800,1172683,1
1460803354,123839,1172624,1
1460803354,123783,1173054,1
1460803354,123919,1173268,1
1460803354,123826,1173063,1
1460803354,123839,1173314,1
